reportid	reportname	reportlink	reporttype
1	采剥计划表	http://10.3.1.1:8080/ReportServer?reportlet=mes/opmplan.cpt	露采
2	储量报告表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcxktclbb.cpt	露采
3	探采对比表	http://10.3.1.1:8080/ReportServer?reportlet=mes/optcdb.cpt	露采
4	爆堆统计表	http://10.3.1.1:8080/ReportServer?reportlet=mes/opbdtj.cpt	露采
5	验收方量汇总表	http://10.3.1.1:8080/ReportServer?reportlet=mes/opysfl.cpt	露采
6	金铜月供矿表	http://10.3.1.1:8080/ReportServer?reportlet=mes/opgkb.cpt	露采
7	排土场计划表	http://10.3.1.1:8080/ReportServer?reportlet=mes/opptcjh.cpt	露采
8	地质储量表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcdzclb.cpt	地采
9	矿体形态对比表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dctcdbb.cpt	地采
10	地勘生勘对比表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcdkyskdbb.cpt	地采
11	生勘与出矿对比表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dckfckltjb.cpt	地采
12	保有储量表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcbyclb.cpt	地采
13	消耗储量表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcxhclb.cpt	地采
14	三级矿量表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcsjklphb.cpt	地采
15	矿房单体设计表	http://10.3.1.1:8080/ReportServer?reportlet=mes/dcskgctjb.cpt	地采
16	炮孔数据表	http://10.3.1.1:8080/ReportServer?reportlet=mes/DCKFXXB.cpt	地采
